# TransLink route catalog, extracted from the static GTFS feed (routes.txt).
# GTFS-realtime only carries route_id, so this maps it to the number riders know.
# Regenerate after a TransLink signup: download
# https://gtfs-static.translink.ca/gtfs/google_transit.zip and copy routes.txt's
# route_id, route_short_name and route_long_name columns.
route_id,route_short_name,route_long_name
10232,256,Whitby Estate/Park Royal/Spuraway
11201,033,16th & 33rd Avenue
11202,042,Alma/Spanish Banks
11692,364,64 Avenue
11693,388,88 Avenue
11696,609,South Delta Exchange/Ladner Exchange
12940,595,208 Street
13684,414,Richmond Oval/Brighouse Station
13686,,Canada Line
16717,209,Mountain Hwy
16718,014,Hastings/UBC Exchange
16719,109,New West Station/Lougheed Station
17707,337,Fraser Heights/Surrey Central Station
18213,231,Harbourside/Lonsdale Quay
18705,531,White Rock Centre/Willowbrook
20667,555,Port Mann Express
22638,188,Coast Meridian Rd
22639,227,Lynn Valley/Phibbs Exchange
23384,503,Fraser Hwy Express
29038,342,Langley Centre/Newton Exchange
29039,864,Lord Tweedsmuir School Special
29040,840,Brookswood School Special
30036,170,Port Coquitlam Station/Port Coquitlam South
30037,171,Coquitlam Central Station/Fremont
30038,172,Coquitlam Central Station/Riverside
30039,173,Coquitlam Central Station/Cedar
30040,174,Coquitlam Central Station/Rocklin
30041,175,Coquitlam Central Station/Meridian
30042,179,Coquitlam Central Station/Buntzen Lake
30043,180,Moody Centre Station/Lougheed Station
30044,181,Moody Centre Station/Ioco
30045,182,Moody Centre Station/Belcarra
30046,183,Moody Centre Station/Coquitlam Central Station
30047,184,Moody Centre Station/Noons Creek
30048,185,Coquitlam Central Station/Lansdowne
30049,186,Coquitlam Central Station/Hampton Park
30050,187,Coquitlam Central Station/Parkway
30051,189,Coquitlam Central Station/Lafarge Park
30052,,Millennium Line
30053,,Expo Line
30055,023,Pacific
30584,191,Coquitlam Central Station/Princeton
31816,360,Ocean Park/Peace Arch Hospital
31817,361,Ocean Park/White Rock Centre
31818,362,Seaside/White Rock Centre
31819,363,Southpoint/Peace Arch Hospital
31820,372,Clayton Heights/Langley Centre
31821,733,Rock Ridge/Haney Place
31822,741,Anderson Creek/Haney Place
32799,119,Kingsway
33292,133,Holdom Station/Edmonds Station
33538,068,UBC Exchange/Wesbrook Village
34042,745,Haney Place/Cottonwood
34043,746,Haney Place/Albion
34044,560,Murrayville/Langley Centre
34045,561,Langley Centre/Brookswood
34540,719,Meadowtown/Fraser Way
34541,722,Meadowtown/Bonson
34542,406,Railway Ave
34543,408,Garden City
34544,282,Mt Gardner/Snug Cove
36799,249,Lonsdale Quay/Delbrook
37807,R5,Hastings St
37808,R1,King George Blvd
37809,R3,Lougheed Hwy
37810,R4,41st Avenue
38311,R2,Marine Drive
39304,031,Metrotown Station/River District
39305,222,Willingdon Express
39307,245,Phibbs Exchange/Capilano University
40855,350,White Rock Centre/Crescent Beach
44845,900,Bike Bus
45596,080,Marine Dr Express
46099,102,New West Station/Victoria  Hill
46604,R6,Scott Road
48855,338,East Fraser Heights/Guildford
53124,001,Downtown South Circulator
53125,011,29th Avenue Station/FIFA Fan Festival
53126,736,Haney Place/Golden Ears
53127,566,Campbell Valley/Langley Centre
6612,002,Macdonald
6613,003,Main
6614,004,Powell/UBC Exchange
6615,005,Robson
6616,006,Davie
6617,007,Nanaimo Station/Dunbar
6618,008,Fraser
6619,009,Broadway
6620,010,Granville
6621,015,Cambie
6622,016,29th Avenue Station/Arbutus
6623,017,Oak
6624,019,Kingsway
6625,020,Victoria
6626,022,Knight
6627,025,King Edward
6628,026,Joyce Station/29th Avenue Station
6629,027,Rupert
6630,028,Boundary
6631,029,Elliott/29th Avenue Station
6633,041,41st Avenue
6635,044,UBC Exchange/Downtown Express
6636,049,49th Avenue
6637,050,Waterfront Station/False Creek South
6638,084,4th Avenue Express
6641,099,Broadway B-Line
6642,100,Marine Drive
6643,101,Lougheed Station/22nd St Station
6644,104,22nd St Station/Annacis Island
6645,106,6th Street
6646,110,Lougheed Station/Metrotown Station
6647,112,12th Street
6648,116,North Fraser Way
6649,123,Canada Way
6650,129,Patterson Station/Holdom Station
6651,130,Willingdon
6652,134,Lake City Station/Brentwood Station
6654,136,Lougheed Station/Brentwood Station
6656,143,SFU Exchange/Burquitlam Station
6657,144,SFU Exchange/Metrotown Station
6658,145,SFU Exchange/Production Station
6659,151,Como Lake Ave
6660,152,Coquitlam Central Station/Lougheed Station
6661,153,Coquitlam Central Station/Braid Station
6662,128,8th Avenue
6663,155,6th Avenue
6664,156,Braid Station/Lougheed Station
6665,157,Burquitlam Station/Lougheed Station
6666,159,Coquitlam Central Station/Braid Station
6667,160,Port Coquitlam Station/Kootenay Loop
6668,169,Coquitlam Central Station/Braid Station
6672,210,Mountain Hwy Express
6673,211,Seymour/Phibbs Exchange/Burrard Station
6674,212,Dollarton Hwy
6675,214,Blueridge/Phibbs Exchange/Burrard Station
6676,228,Grand Blvd
6677,229,Lonsdale Ave
6678,230,Lonsdale Ave
6679,232,Grouse Mountain/Phibbs Exchange
6680,236,Grouse Mountain/Lonsdale Quay
6682,240,Lynn Valley/Downtown
6683,241,Upper Lonsdale/Downtown
6685,246,Highland/Downtown
6686,247,Grouse Mountain/Downtown
6687,250,Horseshoe Bay/Dundarave/Vancouver
6688,251,Queens/Park Royal
6689,252,Inglewood/Park Royal
6690,253,Caulfeild/Vancouver/Park Royal
6691,254,British Properties/Park Royal/Van
6692,255,Dundarave/Capilano University
6693,257,Horseshoe Bay/Vancouver Express
6698,301,Newton Exchange/Brighouse Station Express
6699,311,Scottsdale/Bridgeport Station
6700,312,112 Street
6701,314,Surrey Central Station/Sunbury
6702,316,116 Street
6703,319,Scott Road
6704,320,Langley/Fleetwood/Surrey Central Station
6705,321,King George Blvd
6706,323,128 Street
6707,324,132 Street
6708,325,140 Street
6709,326,Guildford/Surrey Central Station
6710,329,Surrey Central Station/Scottsdale
6712,335,Newton Exchange/Surrey Central Station
6713,340,Scottsdale/22nd St Station
6714,345,152 Street
6715,351,White Rock Centre/Bridgeport Station
6716,352,White Rock Centre/Bridgeport Station
6717,354,White Rock South/Bridgeport Station
6718,391,116 Street
6719,393,128 Street
6720,394,White Rock Centre/King George Station
6721,395,Langley Centre/King George Station
6722,401,Brighouse Station/One Road
6723,402,Brighouse Station/Two Road
6724,403,Bridgeport Station/Three Road
6725,404,Brighouse Station/Four Road
6726,405,Five Road/Cambie
6727,407,Gilbert/Bridgeport
6728,410,Brighouse Station/22nd St Station
6730,430,Metrotown Station/Brighouse Station
6737,501,Langley Centre/Surrey Central Station
6738,502,Fraser Hwy
6739,509,Walnut Grove/Surrey Central Station
6741,601,Bridgeport Station/South Delta
6742,602,Bridgeport Station/Tsawwassen Heights
6743,603,Bridgeport Station/Beach Grove
6744,604,Bridgeport Station/English Bluff
6745,606,Ladner Ring
6746,608,Ladner Ring
6747,620,Tsawwassen Ferry/Bridgeport Station Exp
6748,640,River Road
6749,701,Coquitlam Central Station/Haney Place/Maple Ridge E
6754,855,Elgin Park School Special
6761,880,Windsor School Special
6762,881,Carson Graham School Special
6770,WCE,West Coast Express
6771,,SeaBus
6776,131,Hastings @ Gilmore/Kootenay Loop
6777,280,Bluewater/Snug Cove
6778,281,Eagle Cliff/Snug Cove
6779,262,Lions Bay/Caulfeild
6780,215,Indian River/Phibbs Exchange
6790,103,New West Station/Quayside
6796,105,New West Station/Uptown
6799,743,Haney Place/Meadowtown
6800,744,Haney Place/Meadowtown
6804,748,Thornhill/Haney Place
6805,749,Ruskin/Haney Place
6806,148,Royal Oak Station/Edmonds Station
6811,146,Metrotown Station/Suncrest
6814,562,Langley Centre/Walnut Grove
6815,563,Langley Centre/Fernridge
6816,564,Langley Centre/Willowbrook
6817,147,Metrotown Station/Edmonds Station
6818,371,Surrey Central Station/Scott Rd Station
6819,373,Guildford/Surrey Central Station
6821,322,Newton Exchange/Scottsdale
6822,310,Scottsdale/Ladner
6823,616,Ladner South/Ladner Exchange
6825,618,Ladner North/Ladner Exchange
6827,412,Bridgeport Station/Sea Island South
6828,413,Riverport/Steveston
6829,416,East Cambie/Brighouse Station
6830,N10,Granville-YVR
6831,N15,Cambie
6833,N17,West Broadway
6834,N19,Kingsway
6835,N20,Victoria
6836,N22,Macdonald
6837,N24,Downtown/Lynn Valley
6838,N35,Hastings St
6840,N8,Fraser
6841,N9,Broadway-Lougheed
6843,614,English Bluff/South Delta Exchange
6844,619,South Delta Exchange/Boundary Bay
7224,791,Haney Place/Braid Station
7321,375,152 Street
7322,132,Capitol Hill/Hastings @ Gilmore
7509,150,Coquitlam Central Station/White Pine Beach
8286,370,Cloverdale/Willowbrook
8289,865,Samuel Robertson School Special
8290,341,Guildford/Newton Exchange
9745,418,Kingswood/22nd St Station
HD,HD,HandyDART
